14,15,15,14,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,2,3,2,2,2
29,29,30,29,29,29
5,5,5,5,5,5
15,15,15,15,15,15
2,2,2,2,2,2
80,80,80,80,80,80
2,2,3,2,2,2
29,29,30,29,29,29
5,5,5,5,5,5
15,15,15,15,15,15
2,2,2,2,2,2
80,80,80,80,80,80
2,3,3,2,3,3
29,29,29,29,29,29
5,5,5,5,5,5
15,15,15,15,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,3,3,2,3,2
29,29,29,29,29,29
5,5,6,5,5,5
15,15,15,15,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,3,3,2,3,3
29,29,30,29,29,29
5,5,6,5,5,5
14,15,15,14,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,2,3,2,2,2
29,29,29,29,29,29
5,6,6,5,5,6
14,15,15,14,15,15
2,2,3,2,2,3
80,80,80,80,80,80
2,3,3,2,3,2
29,29,29,29,29,29
5,5,6,5,5,5
14,15,15,14,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,2,3,2,2,2
29,29,30,29,29,30
5,5,6,5,5,5
14,15,15,14,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,2,3,2,2,2
29,29,30,29,29,29
5,5,5,5,5,5
14,15,15,14,15,15
2,2,2,2,2,2
80,80,80,80,80,80
2,2,3,2,2,3
29,29,30,29,29,29
5,5,6,5,5,5
15,15,15,15,15,15
2,2,2,2,2,2
80,80,80,80,80,80
2,2,3,2,2,2
29,29,30,29,29,29
5,5,6,5,5,5
15,15,15,15,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,2,3,2,2,2
29,29,29,29,29,29
5,5,6,5,5,5
15,15,15,15,15,15
2,2,2,2,2,2
80,80,80,80,80,80
2,3,3,2,3,3
29,29,29,29,29,29
5,5,6,5,5,5
15,15,15,15,15,15
2,2,2,2,2,2
80,80,80,80,80,80
2,3,3,2,3,2
29,29,29,29,29,29
5,5,6,5,5,5
15,15,15,15,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,2,3,2,2,3
29,29,29,29,29,29
5,5,6,5,5,5
14,15,15,14,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,2,3,2,2,3
29,29,29,29,29,29
5,5,6,5,5,5
14,15,15,14,15,15
2,3,3,2,3,2
80,80,80,80,80,80
2,2,3,2,2,2
29,29,29,29,29,29
5,5,6,5,5,5
14,15,15,14,15,14
2,2,3,2,2,2
80,80,80,80,80,80
2,2,3,2,2,2
29,29,30,29,29,30
5,5,5,5,5,5
14,15,15,14,15,15
2,2,2,2,2,2
80,80,81,80,80,80
2,2,3,2,2,2
29,29,30,29,29,29
5,5,6,5,5,5
14,15,15,14,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,3,3,2,3,3
29,29,30,29,29,29
5,5,5,5,5,5
14,15,15,14,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,2,3,2,2,3
29,29,30,29,29,29
5,5,6,4,5,5
15,15,15,15,15,15
2,2,2,2,2,2
80,80,80,80,80,80
2,3,3,2,3,2
29,29,29,29,29,29
5,5,6,4,5,5
14,15,15,14,15,15
2,2,2,2,2,2
80,80,80,80,80,80
2,3,3,2,3,3
29,29,30,29,29,29
5,5,6,5,5,6
15,15,15,15,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,3,3,2,3,3
29,29,29,29,29,29
5,5,6,5,5,5
14,15,15,14,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,3,3,2,3,2
29,29,29,29,29,29
5,5,6,5,5,5
14,15,15,14,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,2,3,2,2,2
29,29,29,29,29,29
5,5,6,5,5,5
14,15,15,14,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,2,3,2,2,3
29,29,30,29,29,30
5,5,6,5,5,5
14,15,15,14,15,15
2,2,2,2,2,2
80,80,80,80,80,80
2,3,3,2,3,3
29,29,30,29,29,30
5,5,6,5,5,5
14,15,15,14,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,2,3,2,2,2
29,29,30,29,29,29
5,5,6,5,5,5
15,15,15,15,15,15
2,2,2,2,2,2
80,80,80,80,80,80
2,3,3,2,3,2
29,29,30,29,29,29
5,5,5,5,5,5
15,15,15,15,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,2,3,2,2,2
29,29,30,29,29,29
5,5,6,5,5,5
15,15,15,15,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,3,3,2,3,3
29,29,29,29,29,29
5,5,6,5,5,5
15,15,15,15,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,3,3,2,3,3
29,29,29,29,29,29
5,5,6,5,5,6
15,15,15,15,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,2,3,2,2,2
29,29,29,29,29,29
5,5,6,5,5,5
14,15,15,14,15,15
2,2,3,2,2,2
80,80,81,80,80,80
2,2,3,2,2,3
29,29,29,29,29,29
5,5,6,5,5,5
14,15,15,14,15,15
2,2,3,2,2,2
80,80,81,80,80,80
2,2,3,2,2,2
29,29,30,29,29,29
5,5,6,5,5,5
14,15,15,14,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,2,3,2,2,3
29,29,30,29,29,29
5,5,5,5,5,5
14,15,15,14,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,3,3,2,2,2
29,29,30,29,29,29
5,5,6,5,5,5
15,15,15,15,15,15
2,2,2,2,2,2
80,80,80,80,80,80
2,2,3,2,2,2
29,29,30,29,29,29
5,5,6,5,5,5
15,15,15,15,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,3,3,2,3,3
29,29,29,29,29,29
5,5,6,5,5,6
15,15,15,15,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,2,3,2,2,2
29,29,29,29,29,29
5,5,6,5,5,5
15,15,15,15,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,3,3,2,3,3
29,29,30,28,29,29
5,5,6,5,5,5
15,15,15,15,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,3,3,2,3,3
29,29,29,29,29,29
5,5,6,5,5,6
15,15,15,15,15,15
2,2,3,2,2,3
80,80,80,80,80,80
2,3,3,2,2,2
29,29,29,29,29,29
5,5,6,5,5,5
14,15,15,14,15,14
2,2,3,2,2,2
80,80,81,80,80,80
2,3,3,2,3,3
29,29,30,29,29,30
5,5,6,5,5,5
14,15,15,14,15,15
2,2,3,2,2,2
80,80,81,80,80,80
2,2,3,2,2,2
29,29,30,29,29,29
5,5,6,5,5,5
14,15,15,14,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,3,3,2,3,2
29,29,30,29,29,29
5,5,5,5,5,5
15,15,15,15,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,2,3,2,2,2
29,29,30,29,29,29
5,5,6,5,5,5
15,15,15,15,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,2,3,2,2,3
29,29,30,29,29,29
5,5,6,5,5,5
15,15,15,15,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,3,3,2,3,3
29,29,29,29,29,29
5,5,6,5,5,5
15,15,15,15,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,3,3,2,3,2
29,29,30,29,29,29
5,5,6,5,5,5
14,15,15,14,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,3,3,2,3,2
29,29,29,29,29,29
5,5,6,5,5,6
14,15,15,14,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,2,3,2,2,2
29,29,29,29,29,29
5,5,6,5,5,6
15,15,15,15,15,15
2,2,3,2,2,3
80,80,80,80,80,80
2,3,3,2,3,2
29,29,29,29,29,29
5,5,6,5,5,5
14,15,15,14,15,14
2,2,3,2,2,2
80,80,80,80,80,80
2,2,3,2,2,2
29,29,30,29,29,29
5,5,6,5,5,5
15,15,15,15,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,2,3,2,2,2
29,29,30,29,29,29
5,5,5,5,5,5
14,15,15,14,15,15
2,2,3,2,2,2
80,80,81,80,80,80
2,2,3,2,2,2
29,29,30,29,29,29
5,5,5,5,5,5
15,15,15,15,15,15
2,2,2,2,2,2
80,80,80,80,80,80
2,3,3,2,3,3
29,29,30,29,29,29
5,5,6,5,5,5
15,15,16,15,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,2,3,2,2,2
29,29,29,29,29,29
5,5,5,5,5,5
15,15,15,15,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,3,3,2,3,3
29,29,29,29,29,29
5,5,6,5,5,5
15,15,15,15,15,15
2,2,2,2,2,2
80,80,80,80,80,80
2,3,3,2,3,2
29,29,29,29,29,29
5,5,6,5,5,5
15,15,15,15,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,3,3,2,3,2
29,29,29,29,29,29
5,5,6,5,5,5
15,15,15,15,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,2,3,2,2,3
29,29,29,29,29,29
5,5,6,5,5,6
15,15,15,15,15,15
2,3,3,2,3,3
80,80,80,80,80,80
2,3,3,2,3,3
29,29,29,29,29,29
5,5,6,5,5,5
14,15,15,14,15,14
2,2,3,2,2,2
80,80,80,80,80,80
2,2,3,2,2,3
29,29,30,29,29,29
5,5,6,5,5,5
14,15,15,14,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,2,3,2,2,2
29,29,30,29,29,29
5,5,6,5,5,5
15,15,15,15,15,15
2,2,2,2,2,2
80,80,80,80,80,80
2,2,3,2,2,3
29,29,30,29,29,29
5,5,5,5,5,5
14,15,15,14,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,2,3,2,2,3
29,29,30,29,29,29
5,5,6,5,5,5
15,15,15,15,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,2,3,2,2,2
29,29,30,29,29,29
5,5,6,5,5,5
15,15,15,15,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,3,3,2,3,3
29,29,30,29,29,29
5,5,6,5,5,5
15,15,15,15,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,3,3,2,2,3
29,29,29,29,29,29
5,5,6,5,5,6
15,15,15,15,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,3,3,2,3,2
29,29,29,29,29,29
5,5,6,5,5,5
15,15,15,15,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,2,3,2,2,2
29,29,29,29,29,29
5,5,6,5,5,5
14,15,15,14,15,15
2,2,3,2,2,3
80,80,80,80,80,80
2,3,3,2,3,2
29,29,29,29,29,29
5,5,6,5,5,5
14,15,15,14,15,15
2,2,3,2,2,2
80,80,81,80,80,80
2,2,3,2,2,3
29,29,30,29,29,30
5,5,6,5,5,5
14,15,15,14,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,2,3,2,2,2
29,29,30,29,29,29
5,5,6,5,5,5
15,15,15,15,15,15
2,2,2,2,2,2
80,80,80,80,80,80
2,2,3,2,2,3
29,29,30,29,29,30
5,5,6,5,5,5
15,15,15,15,15,15
2,2,2,2,2,2
80,80,80,80,80,80
2,2,3,2,2,3
29,29,30,29,29,29
5,5,6,5,5,5
15,15,15,15,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,2,3,2,2,3
29,29,30,29,29,29
5,5,6,5,5,5
15,15,15,15,15,15
2,2,2,2,2,2
80,80,80,80,80,80
2,3,3,2,3,2
29,29,29,29,29,29
5,5,6,5,5,5
15,15,15,15,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,3,3,2,3,2
29,29,30,29,29,29
5,5,6,5,5,5
15,15,15,15,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,3,3,2,3,3
29,29,30,29,29,29
5,5,6,5,5,5
15,15,15,15,15,15
2,2,3,2,2,2
80,80,80,80,80,80
2,2,3,2,2,2
29,29,30,29,29,29
5,5,6,5,5,5
14,15,15,14,15,15
2,3,3,2,3,3
80,80,80,80,80,80
2,3,3,2,3,2
29,29,29,29,29,29
5,5,6,5,5,5
14,15,15,14,15,14
2,2,3,2,2,2
